,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert
2021-10-26 19:14:08.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162360.0
2021-10-26 19:14:08.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162380.0
2021-10-26 19:14:08.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162400.0
2021-10-26 19:14:08.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162420.0
2021-10-26 19:14:08.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162440.0
2021-10-26 19:14:08.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162460.0
2021-10-26 19:14:08.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162480.0
2021-10-26 19:14:08.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162500.0
2021-10-26 19:14:08.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162520.0
2021-10-26 19:14:08.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162540.0
2021-10-26 19:14:08.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162560.0
2021-10-26 19:14:08.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162580.0
2021-10-26 19:14:08.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162600.0
2021-10-26 19:14:08.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162620.0
2021-10-26 19:14:08.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162640.0
2021-10-26 19:14:08.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162660.0
2021-10-26 19:14:08.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162680.0
2021-10-26 19:14:08.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162700.0
2021-10-26 19:14:08.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162720.0
2021-10-26 19:14:08.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162740.0
2021-10-26 19:14:08.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162760.0
2021-10-26 19:14:08.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162780.0
2021-10-26 19:14:08.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162800.0
2021-10-26 19:14:08.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162820.0
2021-10-26 19:14:08.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162840.0
2021-10-26 19:14:08.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162860.0
2021-10-26 19:14:08.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162880.0
2021-10-26 19:14:08.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162900.0
2021-10-26 19:14:08.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162920.0
2021-10-26 19:14:08.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162940.0
2021-10-26 19:14:08.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162960.0
2021-10-26 19:14:08.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162980.0
2021-10-26 19:14:09+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163000.0
2021-10-26 19:14:09.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163020.0
2021-10-26 19:14:09.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163040.0
2021-10-26 19:14:09.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163060.0
2021-10-26 19:14:09.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163080.0
2021-10-26 19:14:09.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163100.0
2021-10-26 19:14:09.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163120.0
2021-10-26 19:14:09.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163140.0
2021-10-26 19:14:09.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163160.0
2021-10-26 19:14:09.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163180.0
2021-10-26 19:14:09.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163200.0
2021-10-26 19:14:09.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163220.0
2021-10-26 19:14:09.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163240.0
2021-10-26 19:14:09.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163260.0
2021-10-26 19:14:09.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163280.0
2021-10-26 19:14:09.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163300.0
2021-10-26 19:14:09.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163320.0
2021-10-26 19:14:09.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163340.0
2021-10-26 19:14:09.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163360.0
2021-10-26 19:14:09.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163380.0
2021-10-26 19:14:09.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163400.0
2021-10-26 19:14:09.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163420.0
2021-10-26 19:14:09.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163440.0
2021-10-26 19:14:09.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163460.0
2021-10-26 19:14:09.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163480.0
2021-10-26 19:14:09.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163500.0
2021-10-26 19:14:09.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5163520.0
