,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert,time
2021-10-26 17:47:42.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23460.0,2021-10-26 17:47:42.540000+00:00
2021-10-26 17:47:42.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23440.0,2021-10-26 17:47:42.560000+00:00
2021-10-26 17:47:42.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23420.0,2021-10-26 17:47:42.580000+00:00
2021-10-26 17:47:42.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23400.0,2021-10-26 17:47:42.600000+00:00
2021-10-26 17:47:42.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23380.0,2021-10-26 17:47:42.620000+00:00
2021-10-26 17:47:42.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23360.0,2021-10-26 17:47:42.640000+00:00
2021-10-26 17:47:42.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23340.0,2021-10-26 17:47:42.660000+00:00
2021-10-26 17:47:42.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23320.0,2021-10-26 17:47:42.680000+00:00
2021-10-26 17:47:42.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23300.0,2021-10-26 17:47:42.700000+00:00
2021-10-26 17:47:42.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23280.0,2021-10-26 17:47:42.720000+00:00
2021-10-26 17:47:42.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23260.0,2021-10-26 17:47:42.740000+00:00
2021-10-26 17:47:42.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23240.0,2021-10-26 17:47:42.760000+00:00
2021-10-26 17:47:42.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23220.0,2021-10-26 17:47:42.780000+00:00
2021-10-26 17:47:42.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23200.0,2021-10-26 17:47:42.800000+00:00
2021-10-26 17:47:42.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23180.0,2021-10-26 17:47:42.820000+00:00
2021-10-26 17:47:42.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23160.0,2021-10-26 17:47:42.840000+00:00
2021-10-26 17:47:42.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23140.0,2021-10-26 17:47:42.860000+00:00
2021-10-26 17:47:42.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23120.0,2021-10-26 17:47:42.880000+00:00
2021-10-26 17:47:42.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23100.0,2021-10-26 17:47:42.900000+00:00
2021-10-26 17:47:42.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23080.0,2021-10-26 17:47:42.920000+00:00
2021-10-26 17:47:42.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23060.0,2021-10-26 17:47:42.940000+00:00
2021-10-26 17:47:42.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23040.0,2021-10-26 17:47:42.960000+00:00
2021-10-26 17:47:42.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23020.0,2021-10-26 17:47:42.980000+00:00
2021-10-26 17:47:43+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23000.0,2021-10-26 17:47:43+00:00
2021-10-26 17:47:43.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22980.0,2021-10-26 17:47:43.020000+00:00
2021-10-26 17:47:43.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22960.0,2021-10-26 17:47:43.040000+00:00
2021-10-26 17:47:43.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22940.0,2021-10-26 17:47:43.060000+00:00
2021-10-26 17:47:43.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22920.0,2021-10-26 17:47:43.080000+00:00
2021-10-26 17:47:43.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22900.0,2021-10-26 17:47:43.100000+00:00
2021-10-26 17:47:43.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22880.0,2021-10-26 17:47:43.120000+00:00
2021-10-26 17:47:43.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22860.0,2021-10-26 17:47:43.140000+00:00
2021-10-26 17:47:43.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22840.0,2021-10-26 17:47:43.160000+00:00
2021-10-26 17:47:43.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22820.0,2021-10-26 17:47:43.180000+00:00
2021-10-26 17:47:43.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22800.0,2021-10-26 17:47:43.200000+00:00
2021-10-26 17:47:43.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22780.0,2021-10-26 17:47:43.220000+00:00
2021-10-26 17:47:43.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22760.0,2021-10-26 17:47:43.240000+00:00
2021-10-26 17:47:43.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22740.0,2021-10-26 17:47:43.260000+00:00
2021-10-26 17:47:43.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22720.0,2021-10-26 17:47:43.280000+00:00
2021-10-26 17:47:43.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22700.0,2021-10-26 17:47:43.300000+00:00
2021-10-26 17:47:43.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22680.0,2021-10-26 17:47:43.320000+00:00
2021-10-26 17:47:43.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22660.0,2021-10-26 17:47:43.340000+00:00
2021-10-26 17:47:43.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22640.0,2021-10-26 17:47:43.360000+00:00
2021-10-26 17:47:43.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22620.0,2021-10-26 17:47:43.380000+00:00
2021-10-26 17:47:43.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22600.0,2021-10-26 17:47:43.400000+00:00
2021-10-26 17:47:43.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22580.0,2021-10-26 17:47:43.420000+00:00
2021-10-26 17:47:43.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22560.0,2021-10-26 17:47:43.440000+00:00
2021-10-26 17:47:43.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22540.0,2021-10-26 17:47:43.460000+00:00
2021-10-26 17:47:43.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22520.0,2021-10-26 17:47:43.480000+00:00
2021-10-26 17:47:43.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22500.0,2021-10-26 17:47:43.500000+00:00
2021-10-26 17:47:43.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22480.0,2021-10-26 17:47:43.520000+00:00
2021-10-26 17:47:43.540000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22460.0,2021-10-26 17:47:43.540000+00:00
2021-10-26 17:47:43.560000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22440.0,2021-10-26 17:47:43.560000+00:00
2021-10-26 17:47:43.580000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22420.0,2021-10-26 17:47:43.580000+00:00
2021-10-26 17:47:43.600000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22400.0,2021-10-26 17:47:43.600000+00:00
2021-10-26 17:47:43.620000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22380.0,2021-10-26 17:47:43.620000+00:00
2021-10-26 17:47:43.640000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22360.0,2021-10-26 17:47:43.640000+00:00
2021-10-26 17:47:43.660000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22340.0,2021-10-26 17:47:43.660000+00:00
2021-10-26 17:47:43.680000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22320.0,2021-10-26 17:47:43.680000+00:00
2021-10-26 17:47:43.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22300.0,2021-10-26 17:47:43.700000+00:00
2021-10-26 17:47:43.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22280.0,2021-10-26 17:47:43.720000+00:00
2021-10-26 17:47:43.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22260.0,2021-10-26 17:47:43.740000+00:00
2021-10-26 17:47:43.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22240.0,2021-10-26 17:47:43.760000+00:00
2021-10-26 17:47:43.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22220.0,2021-10-26 17:47:43.780000+00:00
2021-10-26 17:47:43.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22200.0,2021-10-26 17:47:43.800000+00:00
2021-10-26 17:47:43.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-22180.0,2021-10-26 17:47:43.820000+00:00
